customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered
,female,26-35,central,electronics,online,snapdeal,5.0,"amazing experience, highly recommend!",positive,61.0,no,no
27.0,female,18-25,west,beauty,online,croma,3.0,average experience overall.,neutral,44.0,yes,
28.0,other,46-60,north,groceries,online,amazon,1.0,product stopped working after few days.,negative,32.0,yes,
29.0,female,36-45,east,groceries,online,paytm mall,3.0,works fine but idk be better.,neutral,52.0,no,no
30.0,female,36-45,north,sports,online,facebook marketplace,,fast delivery and great packaging.,positive,57.0,no,no
31.0,,36-45,north,home & kitchen,online,shopclues,0.0,gggrrreeeattt vllaauuuee ffoorrr mooneey.,positive,36.0,yes,no
32.0,male,46-60,,travel,online,ajio,4.0,"amazing experience, highly recommend!",positive,68.0,no,no
33.0,male,,south,home & kitchen,online,paytm mall,4.0,delivery and gerat packaging.,positive,64.0,no,no
34.0,female,36-45,west,books,online,facebook marketplace,2.0,product stopped working after few,negative,26.0,yes,yes
35.0,other,18-25,north,books,online,snapdeal,3.0,works fine but could be better.,neutral,34.0,yes,no
36.0,male,26-35,north,groceries,online,meesho,,neutral about the quality.,neutral,15.0,yes,no
37.0,,36-45,west,fashion,online,ajio,,"amazin gexperience, highly recommend!",positive,15.0,yes,no
38.0,other,18-25,south,travel,online,bigbasket,2.0,customer umm service was unhelpful.,negative,18.0,yes,yes
39.0,male,26-35,north,sports,online,ajio,2.0,ont worth the price. like,negative,2.0,yes,yes
40.0,female,26-35,west,home & kitchen,online,croma,,product stopped working after few days.,negative,53.0,no,yes
41.0,male,60+,west,fashion,online,croma,2.0,nnoot wwworrrttthh ttheee prrriicce.,negative,9.0,yes,yes
42.0,other,36-45,central,groceries,online,ajio,4.0,"amazing experience, highly recommend!",positive,18.0,yes,no
43.0,other,60+,east,sports,online,reliance digital,3.0,worrkkss fiinnne buutt bbe bettttrre.,neutral,31.0,yes,no
44.0,,36-45,east,beauty,online,lenskart,0.0,ffaaastt ddeellliveeerrry aaannddd gggreeeaaattt ppaacckaagggiiinggg.,positive,24.0,,no
45.0,male,36-45,west,electronics,online,tata cliq,1.0,not worth the price.,,57.0,no,yes
46.0,other,60+,west,books,online,bigbasket,4.0,eeexcceeelleennntt prodduccttt! eexxxcceeedddeddd eeexxxppectaatttioonnnss.,positive,44.0,yes,no
47.0,female,46-60,west,home & kitchen,online,bigbasket,5.0,excellent product! exceeded expectations.,positive,6.0,yes,no
48.0,,26-35,south,fashion,online,myntra,5.0,"amazing umm experience, highly recommend!",positive,32.0,yes,no
49.0,other,26-35,central,automobile,online,paytm mall,3.0,average experience overall.,neutral,53.0,no,no
50.0,other,46-60,west,automobile,online,bigbasket,0.0,ffaasssttt deellivvveerrryyy gggrrreaat pppaacckaaagggiinggg.,positive,16.0,yes,no
51.0,other,18-25,central,books,online,reliance digital,4.0,"amazinge xperience, highly recommend!",positive,9.0,yes,no
52.0,male,18-25,east,electronics,online,shopclues,2.0,product stopped owrking after few days.,negative,35.0,yes,yes
53.0,female,18-25,east,groceries,online,croma,2.0,late and poor packaging.,negative,34.0,yes,yes
54.0,female,46-60,central,home & kitchen,online,flipkart,5.0,fast delivery and great packagin.g,positive,32.0,yes,no
55.0,female,36-45,west,sports,online,reliance digital,5.0,excellent product! exceeded kindae xpectations.,positive,45.0,yes,no
56.0,male,18-25,west,travel,online,,5.0,"amazing experience, highly recommend!",positive,47.0,yes,no
57.0,female,46-60,central,fashion,,nykaa,5.0,very satisfied with the quality.,positive,,yes,no
58.0,male,46-60,south,sports,online,reliance digital,3.0,"product is okay, nothing special.",neutral,29.0,yes,no
59.0,other,46-60,north,groceries,online,,2.0,product stopped working after few days.,negative,61.0,no,yes
60.0,other,18-25,north,beauty,online,jiomart,5.0,excellent kinda product! ecxeeded expectations.,positive,290.0,no,no
61.0,other,60+,east,travel,online,nykaa,3.0,"is okay, nothing special.",neutral,13.0,yes,no
62.0,other,18-25,central,automobile,online,lenskart,5.0,"amazing exeprience, highly recommend!",positive,17.0,yes,no
63.0,female,36-45,central,,online,snapdeal,4.0,great value for money.,positive,42.0,,no
64.0,,36-45,north,groceries,online,paytm mall,4.0,fast delivery and great packaging.,positive,36.0,yes,
65.0,female,26-35,north,automobile,online,paytm mall,4.0,excellent product! exceeded expectations.,positive,45.0,yes,no
66.0,male,26-35,west,electronics,online,snapdeal,5.0,,positive,57.0,no,no
67.0,,18-25,south,beauty,online,others,1.0,ucstomer service was,negative,26.0,yes,yes
68.0,female,36-45,east,beauty,online,ajio,1.0,idk product stopped working after few days.,negative,20.0,yes,yes
69.0,male,46-60,north,electronics,online,lenskart,2.0,late delivery and errr poor packaging.,negative,1.0,yes,yes
70.0,female,26-35,north,travel,online,swiggy instamart,2.0,not worth the price.,negative,17.0,yes,
71.0,other,36-45,east,groceries,online,,3.0,works fine but could be better.,neutral,69.0,,no
72.0,male,60+,west,home & kitchen,online,jiomart,1.0,like delivery and poor packaging.,negative,41.0,yes,yes
73.0,female,26-35,central,electronics,online,myntra,3.0,works fine wtf but could be better.,neutral,63.0,no,
74.0,,26-35,east,electronics,online,paytm mall,0.0,not worth the price.,negative,39.0,yes,yes
75.0,other,18-25,west,fashion,,swiggy instamart,,great value for money.,positive,67.0,no,no
76.0,female,36-45,central,automobile,online,,4.0,"amazing experience, highly recommend!",positive,68.0,no,
77.0,,26-35,east,home & kitchen,online,snapdeal,5.0,very satisfied with the quality.,positive,24.0,yes,no
78.0,male,60+,south,beauty,online,,2.0,customer service was unhelpful.,negative,58.0,no,yes
79.0,female,26-35,central,sports,online,lenskart,1.0,disappointed with the quality.,negative,9.0,yes,yes
80.0,other,46-60,north,groceries,online,shopclues,2.0,vvveeerrry dddissaapppooinnnttteeeddd wwwiiittthhh tthhhe quuaalliiittyy.,negative,22.0,yes,yes
81.0,other,,south,groceries,online,snapdeal,4.0,very satisfied with the qualit.y,positive,31.0,yes,no
82.0,female,26-35,north,beauty,online,ajio,3.0,,neutral,11.0,yes,no
,male,18-25,west,travel,online,reliance digital,2.0,customer service was unhelpful.,negative,4.0,yes,yes
84.0,other,36-45,south,travel,online,zepto,,verrryyy ddissappppppooinnttteddd wiithh ttthheee qquuallliiitty.,negative,18.0,yes,yes
,female,18-25,south,home & kitchen,online,flipkart,1.0,late delivery and poor packaging.,negative,,yes,yes
86.0,other,18-25,west,home & kitchen,online,reliance digital,5.0,very satisfied wiht the quality.,positive,29.0,,no
87.0,male,36-45,,groceries,,reliance digital,5.0,very satisfied the quality.,positive,41.0,yes,no
88.0,male,36-45,south,fashion,online,jiomart,5.0,kinda great value for money.,positive,7.0,yes,no
89.0,other,26-35,,sports,online,ajio,3.0,average experience overall.,neutral,47.0,,no
90.0,other,36-45,north,beauty,online,facebook marketplace,1.0,not worth the price.,negative,19.0,yes,yes
91.0,,36-45,central,,online,,4.0,"aammmaaziiinnng eeexxpppeeerrriennnccee, hhhiggghhhllly rrrecccommmmmeenndd!",positive,58.0,no,no
92.0,,46-60,central,,online,lenskart,3.0,average experience overall.,neutral,57.0,no,no
93.0,other,36-45,west,books,online,swiggy instamart,4.0,excellent product! exceeded lol expectations.,positive,43.0,yes,no
94.0,female,60+,north,fashion,online,bigbasket,3.0,"dddeeellliivverry wwwaaasss fffiiinne, pproooduuccctt iis ddeeeceennnt. iiidkkk",neutral,42.0,yes,no
95.0,other,26-35,east,automobile,online,boat,2.0,customer service was unhelpful.,negative,27.0,yes,yes
96.0,male,18-25,south,,online,boat,4.0,fast delivery and great packaging.,positive,3.0,yes,no
97.0,male,36-45,north,books,online,amazon,5.0,fast delivery and great packaging. wtf,positive,215.0,yes,no
98.0,other,18-25,central,sports,online,flipkart,2.0,umm very disappointed with the quality.,negative,1.0,yes,yes
,female,46-60,east,automobile,online,reliance digital,2.0,product stopped working after few days.,negative,61.0,no,
100.0,male,26-35,west,sports,online,paytm mall,1.0,product stopped working after few days.,negative,28.0,yes,yes
101.0,other,26-35,west,automobile,online,bigbasket,4.0,"errr amazing experience, highly recommend!",positive,,yes,no
102.0,male,36-45,south,groceries,online,meesho,1.0,customer service was unhelpful.,negative,15.0,yes,yes
103.0,other,18-25,south,travel,online,facebook marketplace,4.0,fffasssttt ddeelliivvveeerryy aanndd gggrreeaaat ppaaackkaaginnggg.,positive,24.0,yes,no
104.0,male,26-35,central,home & kitchen,online,reliance digital,4.0,very satisfied with the uqality.,positive,22.0,yes,no
105.0,other,60+,central,automobile,online,flipkart,,product stoppedw orking after few days.,negative,40.0,yes,yes
106.0,other,46-60,east,home & kitchen,online,jiomart,3.0,works fine but could be betetr.,neutral,17.0,yes,no
,other,36-45,east,books,online,croma,2.0,late delivery and poor umm packaging.,negative,19.0,yes,yes
,female,36-45,north,books,online,reliance digital,4.0,,,35.0,yes,no
109.0,female,36-45,south,fashion,online,bigbasket,1.0,late delivery and packaging.,negative,41.0,yes,yes
,other,60+,north,sports,online,tata cliq,3.0,"product is okay, nothing special.",,40.0,yes,no
111.0,male,60+,central,beauty,online,flipkart,3.0,"product is okay, special.",neutral,24.0,yes,no
112.0,other,36-45,central,groceries,online,myntra,4.0,"amazing experience, highly recommend!",positive,49.0,no,no
113.0,female,60+,north,,online,lenskart,5.0,"amazing experience, ..... recommend!",positive,10.0,yes,no
114.0,female,18-25,south,sports,online,facebook marketplace,4.0,very satisfied with the quality.,positive,31.0,yes,no
,female,26-35,south,,online,tata cliq,2.0,umm late delivery and poor packaging.,negative,70.0,no,yes
116.0,female,26-35,central,groceries,online,amazon,2.0,not worth the priec.,,43.0,yes,yes
117.0,male,,east,groceries,,meesho,3.0,,neutral,11.0,,no
118.0,male,46-60,,books,online,jiomart,4.0,great value for money.,positive,44.0,,no
119.0,male,,east,automobile,online,meesho,,product stopped working lol after few days.,negative,58.0,no,yes
120.0,male,26-35,north,,online,amazon,2.0,late delivery and poor packaging.,negative,24.0,,yes
121.0,female,36-45,west,sports,online,,4.0,fast delivery and great packaging.,positive,14.0,yes,no
122.0,other,,central,,online,swiggy instamart,1.0,nto worth the price.,negative,21.0,yes,yes
123.0,female,36-45,north,fashion,online,,5.0,great lol value for money.,positive,54.0,no,no
124.0,female,26-35,central,electronics,,boat,5.0,veerrryy ssatttisffiiieeddd wwwiithh ttheee qqquaaallliittyy.,positive,48.0,,no
125.0,other,60+,west,home & kitchen,online,bigbasket,1.0,very disappointed with the quality.,negative,47.0,yes,yes
126.0,female,46-60,north,electronics,online,zepto,4.0,delivery umm and great packaging.,positive,17.0,yes,no
127.0,male,18-25,south,beauty,online,ajio,3.0,neutral about the quality.,neutral,5.0,yes,no
128.0,other,60+,north,electronics,online,facebook marketplace,4.0,vvverry wwwiittthh thhe qquuuallltiyyy.,positive,5.0,yes,no
129.0,female,46-60,central,travel,online,myntra,4.0,great value for monye.,positive,36.0,yes,no
130.0,female,26-35,west,beauty,online,jiomart,2.0,very disappointed with the quality.,negative,4.0,yes,yes
131.0,female,36-45,,electronics,online,lenskart,5.0,very satisfied with the quality.,positive,67.0,no,no
132.0,female,18-25,east,fashion,online,swiggy instamart,4.0,excellent product! exceeded,positive,24.0,yes,no
133.0,male,18-25,south,fashion,online,nykaa,4.0,fast delivery and like great packaging.,positive,39.0,yes,no
134.0,female,36-45,east,automobile,online,croma,2.0,service was unhelpful.,negative,70.0,no,yes
135.0,other,46-60,west,,online,shopclues,2.0,product stopped working after few days.,negative,36.0,yes,yes
136.0,male,26-35,north,beauty,online,,2.0,product stopped working few days.,negative,36.0,yes,yes
137.0,female,26-35,west,automobile,online,shopclues,2.0,late idk delivery and poor packaging.,negative,6.0,yes,yes
138.0,male,60+,central,electronics,online,myntra,2.0,very disappointed with the quality. .....,negative,23.0,yes,yes
139.0,female,60+,central,home & kitchen,online,lenskart,4.0,great value for money.,positive,2.0,yes,no
140.0,female,36-45,north,electronics,online,meesho,4.0,great value for money.,positive,48.0,no,no
141.0,other,18-25,east,groceries,online,reliance digital,2.0,customer service was unhelpful.,negative,34.0,yes,yes
142.0,male,46-60,south,electronics,online,others,2.0,product stopped working after few days.,negative,3.6666666666666665,yes,yes
143.0,male,46-60,west,books,online,lenskart,4.0,"amazing experience, recommend!",positive,71.0,no,no
144.0,female,60+,south,beauty,online,ajio,0.0,late delivery and poor packaging.,negative,62.0,no,yes
145.0,other,60+,south,automobile,online,zepto,3.0,"product is okay, nothing special.",neutral,4.0,,no
146.0,other,46-60,north,sports,online,amazon,2.0,lattte deeelllivvveeery aaannnd ppooooor paackaaaggingg.,negative,23.666666666666668,no,yes
147.0,,18-25,east,electronics,online,myntra,3.0,"was fine, product is decent.",neutral,47.0,yes,no
148.0,male,26-35,east,groceries,online,,3.0,neutral abuot the quality.,neutral,225.0,yes,no
149.0,other,46-60,east,electronics,online,zepto,1.0,vvveeerrryyy uuumm dddiiisappppoiiinnntteeddd wwwiiithhh tthhheee quuallliittyy.,negative,63.0,no,yes
150.0,male,46-60,south,electronics,online,others,2.0,laattee deeliveeerryy aaannnddd ppaacckaggiiingg.,negative,45.0,yes,yes
151.0,other,36-45,west,travel,online,swiggy instamart,,neutral about the qualtiy.,neutral,22.0,no,no
152.0,male,36-45,west,travel,online,jiomart,4.0,great value for money.,positive,66.0,no,no
153.0,other,46-60,north,fashion,online,amazon,5.0,fast delivery and great pcakaging.,,52.0,no,
154.0,male,36-45,south,groceries,online,flipkart,1.0,ccusttooommmeerr ssseerrvvviiice wwwaaas uunnheeelpffuulll.,negative,8.0,yes,yes
155.0,female,18-25,west,home & kitchen,online,swiggy instamart,4.0,"amazing experience, highly recommend!",positive,195.0,yes,no
156.0,female,60+,north,groceries,online,boat,4.0,"amazing experience, highly recommend!",positive,10.0,yes,no
157.0,male,26-35,south,sports,online,facebook marketplace,1.0,product stopped after few days.,negative,21.0,yes,
158.0,female,26-35,central,groceries,online,tata cliq,,dsiappooiiinttedd wiitthh the qquualliiitttyy.,negative,51.0,no,yes
159.0,female,18-25,east,books,,zepto,1.0,,negative,28.0,yes,yes
160.0,other,36-45,east,electronics,online,,1.0,late delivery and poor lol packaging.,,52.0,no,yes
161.0,other,60+,west,sports,online,croma,2.0,nnnoot worrttthh thhheee pprrriiccce.,negative,34.0,yes,yes
162.0,female,18-25,south,,,facebook marketplace,2.0,customer service was unhelpful.,,17.0,yes,yes
163.0,female,26-35,central,beauty,online,bigbasket,4.0,great value for money.,positive,29.0,yes,no
164.0,female,,north,sports,online,flipkart,1.0,product stopped working after few days.,negative,49.0,no,yes
165.0,female,18-25,east,sports,online,meesho,1.0,vvveeerryyy ddiisaapppppoinnntteeeddd wittth thhee qqquuallittyy.,negative,58.0,no,yes
166.0,other,46-60,east,fashion,,shopclues,5.0,fast delivery and great packaging.,positive,66.0,no,no
167.0,male,26-35,south,books,online,facebook marketplace,3.0,"deliver ywas fine, product is decent.",neutral,66.0,no,
168.0,male,46-60,west,home & kitchen,online,amazon,2.0,,negative,60.0,no,yes
169.0,female,36-45,north,,,others,5.0,"amazing experience, highly recommend!",positive,27.0,yes,no
,male,46-60,west,beauty,online,tata cliq,5.0,fast delivery and great packaging.,positive,19.0,yes,no
171.0,male,18-25,west,sports,online,bigbasket,,customer service was unhelpful.,negative,34.0,yes,yes
172.0,male,,west,groceries,online,shopclues,2.0,very disappointed with the quality.,negative,25.0,yes,yes
173.0,other,36-45,south,electronics,online,jiomart,3.0,"product is kinda okay, nothing special.",neutral,51.0,no,
174.0,other,18-25,north,travel,online,paytm mall,1.0,customer service was unhelpful.,negative,70.0,no,yes
175.0,other,36-45,east,books,online,shopclues,4.0,fffaaasttt dddeliiivveeerryyy aannddgg rrreeaat pacckkaaggginnggg.,positive,69.0,no,no
176.0,female,36-45,central,beauty,online,tata cliq,0.0,late delivery and packaging.,negative,,yes,yes
177.0,other,36-45,west,groceries,online,facebook marketplace,5.0,"amazing experience, highly recommend!",positive,33.0,yes,no
178.0,male,36-45,south,books,online,bigbasket,2.0,not worth the price.,,61.0,no,yes
179.0,other,46-60,east,groceries,online,nykaa,,neutral about quality.,neutral,48.0,no,no
180.0,female,46-60,south,,,reliance digital,5.0,very satisfied with the quality.,positive,3.0,yes,no
181.0,other,18-25,west,home & kitchen,online,lenskart,3.0,neutral about the quality. idk,neutral,16.0,yes,no
182.0,,,east,sports,online,jiomart,3.0,"deilvery was fine, product is decent.",neutral,3.0,yes,no
,female,60+,east,automobile,,bigbasket,5.0,great value moeny.,positive,5.0,yes,no
184.0,other,,,home & kitchen,online,reliance digital,4.0,,positive,12.0,,no
185.0,female,26-35,west,fashion,online,facebook marketplace,3.0,,neutral,,yes,no
186.0,female,46-60,east,travel,online,croma,3.0,"product is okay, nothing special.",neutral,20.0,yes,no
187.0,male,60+,north,electronics,online,ajio,4.0,"amazing experience, highly recommend! lol",positive,43.0,yes,no
188.0,female,26-35,north,beauty,online,reliance digital,2.0,customer service unhelpful.,negative,63.0,no,yes
189.0,male,60+,west,fashion,online,flipkart,1.0,very disappointed with the quality.,negative,7.0,yes,yes
190.0,male,46-60,west,sports,online,croma,4.0,excellent product! exceeded expectations.,positive,11.0,yes,no
191.0,other,46-60,east,,,others,,"amazing experience, highly recommend! kinda",positive,42.0,yes,no
192.0,female,46-60,west,electronics,online,myntra,,aaavvverragge exxxppeerrriencee ooovveerallll.,neutral,59.0,no,no
193.0,,46-60,west,fashion,,nykaa,2.0,notw orth price.,negative,46.0,yes,yes
194.0,female,60+,west,beauty,online,nykaa,1.0,customer service was unhelpful.,negative,,no,yes
195.0,other,60+,south,fashion,online,swiggy instamart,1.0,customer service was unhelpful.,negative,66.0,no,yes
196.0,male,36-45,east,sports,online,zepto,3.0,"product is okay, nothing special.",neutral,34.0,yes,no
197.0,female,36-45,,books,online,jiomart,1.0,very dispapointed with the quality.,negative,21.0,yes,yes
198.0,male,46-60,south,home & kitchen,online,reliance digital,4.0,very satisfied with the quality.,positive,38.0,yes,no
199.0,female,60+,west,travel,online,croma,,product stopped wroking after few days.,negative,59.0,no,yes
200.0,other,26-35,central,automobile,online,shopclues,2.0,product stopped working after ..... few days.,,42.0,yes,yes
201.0,female,26-35,east,electronics,online,flipkart,5.0,"amaazinnnggg exxpppeeerrieenncee, ummmmm hhiigghlllyyy rrecommmmmennddd!",positive,69.0,no,no
202.0,,46-60,east,beauty,online,paytm mall,2.0,not worth the price.,negative,22.0,yes,yes
203.0,female,60+,north,beauty,online,lenskart,3.0,aaavvveeerragee exxpppeeriieenceee oevvvralll.,neutral,47.0,yes,no
204.0,other,60+,east,sports,online,,4.0,excellent product! expectations.,positive,57.0,no,no
205.0,female,18-25,north,beauty,online,snapdeal,1.0,late delivery and poor packaging.,negative,36.0,yes,yes
206.0,male,60+,north,groceries,online,croma,2.0,custome rservice was unhelpful.,negative,12.0,yes,
207.0,other,46-60,east,sports,online,ajio,3.0,average experience overall.,neutral,66.0,no,no
208.0,other,18-25,south,automobile,online,facebook marketplace,2.0,product stpoped working after few days.,negative,12.0,yes,yes
209.0,male,18-25,south,books,online,croma,5.0,eexxxcceeelllleeentt ppprrrooodduuccct! eexxcceeeddeedd exxxpeeccttaaattioonnnsss.,positive,38.0,yes,no
210.0,other,26-35,south,electronics,online,amazon,4.0,"amazing experience, highly recommend!",positive,220.0,yes,no
211.0,male,60+,east,fashion,online,swiggy instamart,1.0,customer service was unhelpful.,negative,15.0,yes,yes
212.0,other,46-60,west,beauty,online,swiggy instamart,5.0,excellent product! exceeded expectations. wtf,,38.333333333333336,yes,no
213.0,other,36-45,east,groceries,online,,2.0,not worth the price.,negative,45.0,yes,yes
214.0,female,46-60,central,travel,online,ajio,1.0,verryy dddissaappppooiinttedd uummmmm wwwiittth ttthheee quaalliitttyyy.,negative,1.0,yes,yes
215.0,other,36-45,east,,online,bigbasket,4.0,"amazing experience, highly recommend!",positive,55.0,no,no
216.0,male,60+,central,home & kitchen,online,reliance digital,2.0,idk not the price.,negative,46.0,yes,yes
217.0,male,18-25,central,books,online,ajio,1.0,very disappointed with the quality.,negative,54.0,no,yes
218.0,male,26-35,east,books,online,nykaa,1.0,nooott wworrttthh thee priccee.,negative,58.0,no,yes
219.0,female,26-35,west,,,flipkart,4.0,ffassttt ddeelliiivvveeryyy aannnd ggreeaat paackkagggiiinngg.,positive,57.0,no,no
220.0,other,60+,east,books,online,meesho,3.0,"product is okay, nothing special.",neutral,48.0,no,no
221.0,male,36-45,central,groceries,online,boat,3.0,iiddk ddelliiivvveeery wwaaass prrrooddduuctt iiiss ddeecennnt.,neutral,32.0,yes,no
222.0,female,46-60,west,home & kitchen,online,amazon,2.0,worth the price. idk,negative,34.0,yes,yes
223.0,other,60+,south,fashion,online,swiggy instamart,2.0,late delivery and poor packaging.,negative,51.0,no,yes
224.0,male,18-25,south,electronics,online,zepto,5.0,"amazing experience, highly recommend!",positive,50.0,no,no
225.0,other,60+,central,electronics,online,lenskart,3.0,errr neutral about the quality.,neutral,7.0,,no
226.0,male,18-25,east,automobile,online,boat,5.0,excellent proudct! exceeded expectations.,positive,32.0,yes,no
227.0,other,,west,travel,online,bigbasket,3.0,"delivery was fine, product is decent.",neutral,54.0,no,no
228.0,female,46-60,west,travel,online,lenskart,1.0,late and poor packaging.,negative,,yes,yes
229.0,female,60+,north,beauty,online,bigbasket,3.0,"product is okay, nothing special.",neutral,4.0,yes,no
230.0,male,,,home & kitchen,online,flipkart,5.0,great value for money.,positive,30.0,yes,no
231.0,female,60+,central,books,online,tata cliq,1.0,very disappointed with the quality.,negative,59.0,no,yes
232.0,other,46-60,south,travel,online,amazon,2.0,,negative,52.0,no,yes
233.0,male,18-25,central,groceries,online,shopclues,3.0,"deeelliivery wwaass ffineee, ppproooducct isss deccceeennnttt.",neutral,8.0,yes,no
234.0,other,,south,fashion,online,shopclues,2.0,late delivery and poor packaging.,negative,,no,yes
235.0,female,60+,central,books,online,nykaa,4.0,"amazing experience, highly recommend!",positive,15.0,yes,no
236.0,other,36-45,east,groceries,,swiggy instamart,5.0,great value lol for,positive,53.0,no,no
237.0,female,26-35,north,beauty,online,paytm mall,4.0,excellent product! exceeded expectations.,positive,61.0,no,no
238.0,female,26-35,south,books,online,ajio,2.0,,negative,43.0,yes,yes
,male,36-45,central,fashion,online,reliance digital,5.0,excellent product! exceeded expectations.,positive,7.0,yes,
240.0,female,60+,south,home & kitchen,online,croma,1.0,not teh price.,,11.0,yes,yes
241.0,male,46-60,south,fashion,online,paytm mall,4.0,very satisfied with the quality.,positive,14.0,yes,no
242.0,female,,north,automobile,online,snapdeal,1.0,product stopped working after few days.,negative,7.0,yes,yes
243.0,male,46-60,west,fashion,online,bigbasket,1.0,customer service was unhelpful.,negative,2.0,yes,yes
244.0,female,46-60,central,fashion,online,facebook marketplace,2.0,product stopped working after few days.,negative,2.0,yes,yes
245.0,,36-45,central,home & kitchen,online,amazon,1.0,not worth the price.,negative,34.0,yes,yes
246.0,male,46-60,central,groceries,online,boat,5.0,fast delivery and great packaging.,positive,36.0,yes,no
247.0,other,26-35,central,automobile,online,flipkart,4.0,"amazing experience, highly recommend!",positive,26.0,yes,no
248.0,female,36-45,central,travel,online,nykaa,1.0,customer service unhelpful.,negative,100.0,yes,
249.0,other,26-35,east,sports,online,boat,4.0,great value for money.,,11.0,yes,no
250.0,male,60+,central,home & kitchen,online,snapdeal,1.0,customer service was unhelpful.,negative,13.0,,yes
251.0,male,46-60,west,sports,online,paytm mall,4.0,very satisfied with the quality.,positive,33.0,yes,no
252.0,female,36-45,north,automobile,online,others,,aaammaaazziiinngg hiiiggghhlyyy reeccoommmmennnddd!,positive,19.0,yes,no
253.0,male,36-45,north,electronics,online,amazon,1.0,,,38.0,yes,yes
254.0,male,36-45,north,travel,online,nykaa,3.0,neutral about the quality.,neutral,69.0,no,no
255.0,female,46-60,south,beauty,online,bigbasket,4.0,"experience, highly recommend!",positive,70.0,no,no
256.0,male,26-35,east,books,online,ajio,5.0,very satisfied with the quality.,positive,16.0,yes,no
257.0,other,60+,west,electronics,online,swiggy instamart,4.0,excellent product! exceeded expectations.,positive,33.0,yes,no
258.0,male,26-35,east,travel,online,paytm mall,2.0,late delivery and poor packgaing.,negative,38.0,yes,
,male,18-25,south,travel,online,nykaa,1.0,late delivery and poor,negative,21.0,yes,
260.0,female,46-60,west,travel,online,meesho,3.0,neutral about quality.,neutral,70.0,no,no
261.0,other,46-60,central,beauty,online,reliance digital,3.0,"deeelliiivvveerrry was fiiineee, prrooddducttt iisss dddcceeent.",neutral,15.0,yes,no
262.0,male,26-35,south,fashion,online,amazon,5.0,lol very satisfied with the qaulity.,positive,10.0,yes,no
263.0,male,,south,beauty,online,lenskart,3.0,"product is okay, nothing special.",neutral,10.0,yes,no
264.0,other,,central,sports,online,boat,,"amazing experience, highly recommend!",positive,18.0,yes,no
265.0,other,46-60,central,beauty,online,flipkart,3.0,"product is okay, nothing special.",neutral,1.0,yes,no
266.0,female,60+,south,groceries,online,flipkart,1.0,,negative,42.0,yes,yes
267.0,female,60+,east,groceries,online,swiggy instamart,1.0,,negative,,no,yes
268.0,female,36-45,east,automobile,online,nykaa,4.0,,positive,52.0,no,no
